,Area Type,Area Name,Total_2016,Total_2036,Population Difference,Population Growth
357,2GMEL,St Albans - South,18025,21152.0,3127.0,17.348127600554786
358,2GMEL,Sunshine,10241,18418.0,8177.0,79.84571819158285
359,2GMEL,Sunshine North,12123,17261.0,5138.0,42.382248618328795
360,2GMEL,Sunshine West,19533,24132.0,4599.0,23.544770388573184
361,2GMEL,Sydenham,12585,14028.0,1443.0,11.466030989272943
362,2GMEL,Taylors Lakes,18455,18729.0,274.0,1.4846924952587375
363,2GMEL,Altona,13206,16739.0,3533.0,26.752991064667576
364,2GMEL,Altona Meadows,20106,22063.0,1957.0,9.733412911568685
365,2GMEL,Altona North,14787,25727.0,10940.0,73.98390478122676
366,2GMEL,Newport,18523,23377.0,4854.0,26.20525832748475
367,2GMEL,Seabrook,5408,6099.0,691.0,12.777366863905327
368,2GMEL,Williamstown,16389,20139.0,3750.0,22.88120080541827
369,2GMEL,Braybrook,19224,28665.0,9441.0,49.11048689138577
370,2GMEL,Footscray,17343,44492.0,27149.0,156.54154413884564
371,2GMEL,Maribyrnong,12950,25011.0,12061.0,93.13513513513514
372,2GMEL,Seddon - Kingsville,9711,11626.0,1915.0,19.719905262073937
